//X;Y;Z;R;G;B;Scalar field;Illuminance (PCV)
-14.339388847;-3.295261383;12.544158936;132;140;153;0.195615;0.860169
-3.405112028;-6.100324631;15.819009781;72;84;108;0.586844;0.885593
-17.742782593;0.844944239;10.138943672;145;142;159;0.195615;0.881356
-1.964864969;-7.248806477;19.486286163;105;107;132;0.437408;0.885593
-5.997859478;-7.916762352;14.486669540;148;126;149;0.391230;0.843220
-2.131381989;-4.473816872;18.157005310;178;197;230;0.276641;0.889831
-14.918765068;3.872311354;17.364408493;121;135;172;0.479156;0.949153
-19.994455338;1.611076593;19.666549683;155;151;174;0.553282;0.944915
-11.326145172;-5.120091438;13.161209106;198;197;213;0.195615;0.851695
-14.133454323;0.492887974;12.436090469;189;194;224;0.553282;0.868644
-9.262857437;-3.785246849;16.698596954;124;149;189;0.731924;0.885593
-9.212468147;1.153837085;20.305431366;112;128;161;0.276641;0.750000
-11.421398163;5.238005161;15.682451248;30;39;56;0.479156;0.877119
-1.276312590;5.026604652;16.542631149;173;178;207;0.391230;0.843220
-1.091691971;-6.548255920;18.950204849;176;186;213;0.276641;0.847458
-13.985068321;-2.844045401;13.789645195;92;79;86;0.195615;0.885593
-6.037040234;-4.790510654;17.458211899;147;163;179;0.479156;0.894068
-15.902214050;-1.314492702;9.374149323;232;218;233;0.338815;0.919492
-14.032474518;-10.803080559;17.305633545;104;105;125;0.195615;0.911017
-7.492742538;1.260048866;21.155263901;106;122;171;0.437408;0.885593
-10.271793365;-1.882276416;19.745185852;88;96;135;1.157273;0.940678
-8.035850525;1.587973475;14.747143745;86;94;97;0.195615;0.809322
-6.630897522;-1.139154792;21.863414764;124;140;163;1.189878;0.987288
-9.768087387;-4.975925446;20.931659698;139;141;153;1.540272;0.961864
-6.092858315;3.014798164;16.017234802;158;184;233;0.276641;0.783898
-12.233714104;5.339300156;15.131011009;186;185;201;0.195615;0.838983
-17.294240952;0.353488445;17.564641953;157;167;194;0.479156;0.923729
-1.234231949;3.285933733;17.455841064;156;162;176;0.338815;0.864407
-3.051005840;1.427448392;16.603548050;129;153;187;0.276641;0.902542
-10.768879890;-4.156209469;19.707111359;74;78;115;0.731924;0.877119
-13.755043030;1.901185751;13.478170395;62;53;46;0.553282;0.822034
-4.571585178;2.226279736;11.106306076;188;195;221;0.195615;0.881356
-7.066347599;2.563561201;20.862291336;109;109;109;0.874816;0.953390
-11.290533066;-5.203713894;12.831665039;86;89;96;0.195615;0.868644
-8.560362816;-0.357498527;21.577207565;104;116;158;0.479156;0.915254
-7.470247269;-3.900047302;16.393188477;221;228;238;0.338815;0.868644
-13.603263855;4.029430866;17.292850494;121;144;186;0.276641;0.881356
-12.293417931;-6.635266304;21.791173935;182;169;197;1.205850;0.970339
-12.165014267;-5.656173706;20.663543701;93;98;120;0.553282;0.817797
-8.463441849;1.882158160;20.657676697;140;158;204;0.391230;0.877119
-5.526025772;2.749195099;11.790473938;69;66;83;0.276641;0.902542
-15.826471329;-1.099774241;8.727812767;176;182;182;0.195615;0.932203
-12.399647713;-5.865475178;16.287303925;195;197;220;0.276641;0.851695
-10.239771843;0.074289918;21.094650269;95;92;119;0.782459;0.974576
-6.617268562;-0.884511948;21.631921768;101;110;141;0.997444;0.936441
-6.061059952;0.178966045;9.826677322;203;214;234;0.195615;0.885593
-12.663210869;-2.481769562;15.856470108;221;215;229;0.437408;0.796610
-4.594244957;1.403521538;10.854352951;108;105;122;0.391230;0.872881
